Packet Size,Direction
50,B to A
47,A to B
45,A to B
47,A to B
53,A to B
45,B to A
50,B to A
47,A to B
45,A to B
47,A to B
53,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
52,A to B
47,A to B
50,A to B
47,A to B
45,B to A
52,A to B
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
47,A to B
45,B to A
45,B to A
45,B to A
45,B to A
52,A to B
52,A to B
47,A to B
45,B to A
52,A to B
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
45,A to B
47,A to B
50,A to B
45,B to A
45,B to A
45,B to A
45,B to A
48,B to A
48,B to A
47,A to B
48,B to A
45,B to A
45,B to A
45,B to A
52,A to B
45,B to A
47,A to B
52,A to B
47,A to B
45,B to A
45,A to B
45,B to A
47,A to B
50,A to B
45,B to A
48,B to A
47,A to B
47,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
45,A to B
47,A to B
45,B to A
48,B to A
47,A to B
45,A to B
50,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
47,A to B
45,B to A
52,A to B
47,A to B
52,A to B
47,A to B
52,A to B
48,B to A
47,A to B
45,A to B
47,A to B
45,B to A
48,B to A
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
45,A to B
45,B to A
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
0,0 to 0
