Packet Size,Direction
54,A to B
62,B to A
45,A to B
110,A to B
56,B to A
45,A to B
45,A to B
57,A to B
56,B to A
50,B to A
45,A to B
57,A to B
45,B to A
54,A to B
54,B to A
45,A to B
45,B to A
57,A to B
50,B to A
50,A to B
50,B to A
45,A to B
57,A to B
57,B to A
45,B to A
59,B to A
45,A to B
49,A to B
57,B to A
45,A to B
50,B to A
45,A to B
60,A to B
50,B to A
45,A to B
51,A to B
56,B to A
45,A to B
57,A to B
45,B to A
50,B to A
45,A to B
51,A to B
50,B to A
50,B to A
45,A to B
53,A to B
50,B to A
45,A to B
51,A to B
50,B to A
45,A to B
51,A to B
50,B to A
45,A to B
51,A to B
50,B to A
45,A to B
51,A to B
51,A to B
67,B to A
45,A to B
47,A to B
51,B to A
45,A to B
54,A to B
50,B to A
52,A to B
51,B to A
45,A to B
56,A to B
54,A to B
54,A to B
50,B to A
54,A to B
50,B to A
