Direction,PacketSize
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
incoming,48
incoming,48
outgoing,47
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,61
outgoing,61
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
outgoing,47
outgoing,52
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,52
incoming,45
outgoing,61
outgoing,61
outgoing,61
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
incoming,45
incoming,45
outgoing,47
outgoing,52
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,69
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,47
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
incoming,45
outgoing,52
outgoing,47
outgoing,52
incoming,45
outgoing,61
outgoing,57
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
outgoing,47
outgoing,52
incoming,45
incoming,45
incoming,45
outgoing,52
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,45
outgoing,45
outgoing,47
outgoing,47
outgoing,50
incoming,45
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,61
