AbsoluteSum,CumulativeSum
0,0
520,104
1081,457
1651,543
2144,728
2709,987
3274,1046
3782,1346
4345,1513
4891,1751
5418,1882
5965,2013
6543,2295
7036,2480
7598,2646
8166,2798
8685,2695
9221,3041
9786,3190
10294,3490
10857,3657
11404,3788
11925,4013
12473,4053
13053,4003
13542,4102
14088,4432
14646,4682
15164,4804
15720,4836
16292,4680
16866,4730
17374,5030
17937,5197
18492,5336
19010,5458
19560,5700
20131,5875
20633,5961
21194,6334
21736,6668
22253,6995
22824,7044
23374,7304
23885,7399
24440,7350
25010,7812
25512,7898
26079,8167
26623,8611
27138,8622
27704,8880
28261,8941
28782,9272
29349,9415
29891,9569
30393,9763
30965,9721
31489,10055
32054,10204
32570,10512
33134,10572
33692,10822
34205,10959
34778,10910
35328,11062
35848,11166
36395,11297
36960,11574
37454,11752
38025,11801
38542,12028
39062,12132
39615,12477
40192,12442
40700,12562
41247,12693
41812,12842
42328,13150
42892,13210
43450,13460
43968,13582
44515,13713
45096,13458
45616,13562
46181,13821
46732,14074
47288,14214
47799,14309
48362,14664
48909,14795
49414,14796
49988,14846
50549,15199
51059,15313
51614,15452
52196,15198
52719,15305
53272,15462
53837,15611
54358,15710
54904,15866
55443,16197
55945,16283
56523,16565
57058,16684
57573,17011
58129,17151
58691,17317
59206,17408
59771,17685
60327,17825
60835,17937
61395,18181
61953,18431
62516,18598
63018,18684
63589,18859
64148,19002
64666,18900
65240,18842
65805,19101
66320,19210
66878,19460
67441,19627
67943,19713
68514,19888
69073,20031
69594,20256
70146,20292
70715,20673
71217,20759
71779,20925
72347,21077
72851,21283
73416,21432
73977,21785
74487,21899
75042,22038
75617,22217
76119,22303
76691,22147
77265,22305
77820,22444
78338,22566
78897,22709
79468,22884
79965,23065
80530,23342
81074,23362
81598,23698
82154,23730
82719,24007
83230,24102
83791,24357
84354,24622
84856,24708
85422,24870
85980,25120
86498,25242
87061,25391
87608,25630
88126,25528
88704,25574
89262,25824
89768,25934
90315,26065
90881,26335
91383,26421
91948,26698
92504,26838
93066,27004
93577,27099
94140,27246
94683,27699
95185,28001
95746,28264
96312,28322
96814,28408
97379,28685
97935,28825
98443,29027
99003,29181
99561,29431
100067,29541
100621,29779
101192,29954
101694,30040
102277,30227
102824,30358
103339,30685
103895,30825
104457,30991
104968,31086
105533,31345
106093,31499
106594,31692
107169,31871
107716,32002
108297,31747
