AbsoluteSum,CumulativeSum
0,0
512,320
1011,441
1542,882
2010,708
2512,574
2983,769
3513,1017
4028,1256
4588,1530
5067,1819
5622,2182
6092,2274
6617,2523
7095,2815
7567,3011
8149,3401
8624,3588
9144,3658
9617,3945
10136,4182
10621,4391
11162,4560
11636,4754
12220,5148
12712,5538
13234,5682
13716,5894
14185,6081
14705,6223
15174,6146
15696,6398
16169,6595
16684,6648
17158,6930
17682,6992
18155,7189
18683,7435
19152,7628
19681,7867
20154,8154
20631,8361
21152,8600
21622,8692
22137,8757
22609,8941
23148,9210
23622,9312
24142,9642
24619,9839
25144,10262
25622,10554
26148,10708
26617,10991
27095,11367
27615,11503
28091,11793
28609,11855
29078,12042
29598,12184
30079,12473
30602,12720
31080,12922
31599,13159
32119,13299
32640,13628
33112,13638
33583,13923
34113,14177
34590,14276
35107,14505
35578,14790
36100,14952
36578,15154
37097,15391
37579,15489
38103,15633
38574,15918
39106,16264
39578,16364
40049,16649
40561,16789
41032,16984
41567,17229
42044,17514
42566,17658
43055,18057
43574,18294
44040,18484
44564,18632
45041,18829
45565,19065
46040,19180
46513,19377
47035,19521
47506,19716
48038,20062
48509,20347
49026,20486
49500,20588
50025,20927
50501,20941
51014,21268
51488,21366
52016,21512
52492,21796
53006,21854
53474,21782
53947,22069
54469,22303
54950,22592
55473,22749
55947,23043
56464,23188
56933,23381
57447,23613
57921,23711
58449,23857
58925,24051
59439,24199
59926,24410
60395,24603
60919,24841
61394,24934
61915,25263
62393,25555
62919,25709
63391,25803
63910,25860
64381,26145
64906,26214
65375,26407
65891,26641
66363,26741
66831,27023
67355,27167
67839,27459
68352,27414
68817,27609
69346,27952
69818,28052
70337,28379
70814,28478
71325,28443
71789,28721
72309,28863
72785,29057
73268,29354
73793,29603
74265,29793
74786,29934
75275,30231
75792,30370
76269,30577
76790,30816
77263,30821
77786,31152
78262,31352
78787,31601
79256,31788
79730,31980
80250,31942
80718,32050
81236,31938
81709,32225
82231,32369
82686,32098
83190,31594
83655,31129
84170,31176
84649,31275
85173,31607
85651,31809
86117,31915
86634,31982
87102,32360
87623,32785
88095,32975
88617,33119
89093,33403
89618,33742
90091,33849
90608,33994
91082,34186
91604,34330
92079,34625
92552,34732
93069,34877
93548,34976
94070,35216
94544,35318
95053,35461
95523,35481
96044,35630
96518,35918
97043,35969
97509,36249
98034,36324
98510,36518
99026,36758
