AbsoluteSum,CumulativeSum
0,0
276,276
606,606
936,936
1266,1266
1596,1596
1926,1926
2256,2256
2586,2586
2913,2913
3243,3135
3549,3033
3857,3241
4153,3437
4468,3752
4751,3847
5072,4078
5402,4408
5732,4738
6062,5068
6392,5398
6722,5728
7052,6058
7382,6388
7712,6718
8042,7048
8372,7378
8702,7708
9029,8035
9359,8365
9689,8695
10016,9022
10346,9352
10676,9682
11006,10012
11336,10342
11666,10672
11993,10999
12320,11326
12644,11650
12968,11542
13274,11548
13577,11851
13873,11861
14203,12191
14533,12521
14860,12848
15187,13175
15514,13502
15844,13832
16117,14105
16447,14435
16777,14765
17104,15092
17434,15422
17761,15749
18091,16079
18418,16406
18733,16505
19046,16720
19376,17050
19703,17377
20030,17704
20360,18034
20690,18364
21020,18694
21350,19024
21680,19354
22010,19684
22337,20011
22667,20341
22997,20671
23327,21001
23657,21331
23987,21661
24317,21991
24647,22321
24974,22324
25284,22218
25597,22331
25900,22634
26204,22840
26499,22857
26823,23181
27150,23508
27474,23832
27801,24159
28131,24489
28461,24819
28791,25149
29121,25479
29451,25809
29767,25601
30063,25797
30378,26112
30682,26228
31012,26558
31342,26888
31672,27218
32002,27548
32278,27824
32608,28154
32938,28484
33268,28814
33598,29144
33928,29474
34258,29804
34588,30134
34918,30464
35248,30794
35578,31124
35908,31454
36238,31784
36565,32111
36889,32435
37213,32759
37543,33089
37873,33419
38203,33749
38533,34079
38863,34409
39193,34739
39520,34958
39840,35178
40156,35396
40489,35729
40819,36059
41149,36389
41479,36719
41809,37049
42139,37379
42469,37709
42799,38039
43129,38369
43459,38699
43789,39029
44119,39359
44449,39689
44779,40019
45109,40349
45439,40679
45769,41009
46099,41339
46429,41669
46759,41999
47089,42329
47419,42659
47749,42989
48079,43319
48412,43652
48688,43928
49018,44258
49348,44588
49678,44918
50008,45248
50338,45578
50668,45908
50998,46238
51328,46568
51655,46895
51982,46790
52292,46684
52606,46898
52917,47109
53217,47409
53504,47320
53834,47650
54164,47980
54494,48310
54824,48640
55154,48970
55487,49303
55817,49633
56147,49963
56477,50293
56807,50623
57137,50953
57467,51283
57797,51613
58127,51943
58457,52273
58787,52603
59117,52933
59447,53263
59777,53593
60107,53923
60437,54253
60767,54583
61097,54913
61427,55243
61757,55573
62087,55903
62414,55906
62724,56016
63035,56227
63323,56317
63626,56530
63939,56655
64269,56985
64599,57315
