AbsoluteSum,CumulativeSum
0,0
1543,-91
3142,172
4710,44
6278,-288
7815,-377
9393,-411
10964,-744
12571,-789
14104,-980
15658,-1506
17260,-1546
18826,-1892
20376,-2418
21869,-3191
23434,-4128
25004,-4050
26573,-4255
28103,-4465
29802,-3908
31334,-4540
32867,-5863
34406,-6882
35905,-7563
37511,-7393
39105,-6939
40861,-5953
42395,-5551
43994,-5086
45605,-4533
47204,-4066
48762,-3452
50378,-2782
51949,-2905
53507,-3137
55169,-2889
56686,-3168
58282,-3426
59850,-3346
61416,-3374
62971,-2863
64546,-3170
66202,-3116
67786,-3672
69354,-3902
70890,-3790
72508,-3230
74078,-3076
75672,-3794
77203,-3579
78802,-3930
80359,-4359
81943,-4385
83520,-4544
85065,-4531
86627,-4755
88218,-4708
89763,-5015
91325,-4851
92883,-5237
94456,-6000
96085,-6433
97633,-6437
99187,-7281
101105,-5623
102850,-4890
104501,-4413
106082,-3750
107713,-3341
109503,-2407
111128,-1810
112697,-1177
114430,-488
116038,82
117632,634
119243,1199
120818,2020
122414,2490
124017,3045
125626,3612
127175,4119
128850,4814
130485,5395
132089,5857
133746,6768
135427,7677
137032,8144
138624,8708
140249,9465
141796,9884
143397,10529
145016,11286
146649,12261
148188,12484
149803,13135
151342,12310
152954,12694
154540,12956
156104,13668
157801,14411
159405,14973
161001,15525
162567,16139
164179,16893
165776,17348
167387,17909
169002,18470
170520,18380
172131,18943
173691,18603
175291,19155
176835,19083
178546,20030
180325,20867
181954,20384
183551,20843
185236,21586
186940,22522
188516,22208
190117,22281
191638,22090
193257,22667
195026,23768
196672,24276
198227,24881
199922,25714
201689,26719
203374,27362
205039,28173
206863,29647
208624,30240
210424,32040
212224,33840
214001,34897
215893,36285
217555,36873
219186,37396
220811,37889
222478,38732
224226,39818
226059,41651
227877,43469
229649,44685
231371,45321
233060,45968
234730,46944
236355,47109
237969,47291
239620,47754
241311,49085
242939,49497
244520,49528
246145,49577
247778,49798
249404,49972
251024,50556
252714,51040
254371,52489
255956,52408
257570,52932
259191,52807
260823,54015
262439,53827
264299,54793
266086,56198
267962,57026
269783,58127
271563,58989
273329,59427
275108,60454
276801,61481
278407,62151
280334,62986
281924,63534
283646,64482
285257,65047
286982,65640
288606,65936
290448,67022
292324,68236
293931,68891
295506,68384
297074,69000
298682,69570
300237,69037
301862,69710
303388,69814
305002,70476
306600,71038
308322,71798
310022,72448
311572,72860
313183,73429
314783,73891
316392,74548
317948,75160
319682,76212
321284,76676
322922,77472
324491,77625
