AbsoluteSum,CumulativeSum
0,0
1632,-420
3136,4
4794,648
6389,515
7970,490
9553,845
11071,1249
12647,1597
14215,2025
15799,2229
17453,3071
19082,3452
20669,4415
22279,4749
23889,5411
25618,4008
27260,2950
28771,3165
30387,3701
31963,3657
33521,3973
35128,4324
36755,4723
38370,5398
39937,5885
41525,5529
43064,5880
44566,6382
46155,6675
47720,7052
49286,7402
50944,7116
52517,7177
54074,7222
55729,6825
57296,6664
58873,6729
60433,6993
62007,6731
63535,7395
65082,7726
66699,7723
68269,8171
69822,8738
71398,8802
72990,8868
74589,9143
76200,9134
77751,9389
79302,9860
80918,9692
82459,10097
84059,10509
85619,10989
87222,10996
88870,11348
90425,11391
92023,11665
93667,11365
95224,11542
96803,12041
98431,11941
99941,12695
101567,12377
103010,13388
104569,13651
106181,13751
107687,14257
109323,14813
110863,15165
112451,14861
114107,14865
115684,15146
117266,14892
118893,14721
120447,15181
122108,14574
123695,14433
125230,14672
126811,15183
128369,15985
129922,16674
131537,16561
133094,16822
134661,17201
136184,17522
137732,17544
139376,17784
140806,18890
142374,18838
143991,19197
145541,19451
147172,19110
148716,19898
150299,19753
151900,19950
153455,20209
155051,20185
156675,20729
158191,21151
159798,21880
161379,21733
162928,21958
164547,22605
166125,22779
167658,22800
169200,23450
170789,23743
172381,23823
173929,24343
175543,24229
177041,25079
178577,25427
180146,25052
181762,25776
183298,25908
184836,26582
186411,26561
187948,27450
189578,28000
191125,28683
192678,29372
194303,30133
195890,30100
197488,30064
199020,30934
200600,30570
202190,30648
203762,30608
205382,31080
207012,31878
208553,31963
210199,32569
211824,33570
213431,34137
215062,34520
216658,34940
218316,35440
219876,35912
221452,36212
223081,36221
224663,35751
226287,35615
227919,35951
229438,37470
231068,37588
232543,38199
234072,38432
235753,38733
237297,39197
238870,39798
240491,39799
242026,40038
243574,40910
245188,40796
246708,41128
248249,41763
249830,42776
251513,44459
253217,45747
254885,46657
256596,48268
258254,49158
259886,49926
261513,50513
263241,51537
265085,52239
266741,53223
268346,53488
270096,53202
271673,53475
273286,53782
274958,54414
276551,55167
278166,55518
279819,56339
281446,56818
283066,57814
284631,58103
286270,59086
287922,59690
289537,60485
291133,60925
292744,61168
294344,62028
295949,62299
297479,62601
299061,62687
300630,62852
302159,63179
303711,63877
305332,63662
306861,63895
308462,64604
310079,63845
311614,64316
313274,64936
314817,65147
316422,65396
