AbsoluteSum,CumulativeSum
0,0
2909,881
5870,1414
8896,2656
11878,3824
14866,4564
17766,5952
20671,6049
23535,7185
26355,8601
29358,10632
32370,10728
35311,12265
38206,13108
41115,14205
44210,15140
47089,16395
50121,17507
53121,18563
56038,19588
59067,20525
62178,21864
65160,22838
68218,23608
71294,25020
74302,26128
77402,27240
80415,28131
83487,28915
86538,30258
89562,31010
92623,31927
95651,33083
98756,32952
101968,31412
104998,31418
107757,33313
110675,33855
113484,35152
116542,36266
119312,38172
122285,39267
125272,39770
128294,40848
131201,41811
134095,43691
137131,44647
140019,45267
142893,46629
145735,47823
148733,48985
151595,50199
154717,49757
157513,51581
160439,52563
163396,53332
166394,54494
169307,55229
172268,56786
175160,58166
178054,60248
180959,61749
183819,62745
186755,64601
189537,66721
192513,68509
195376,69644
198255,71119
201114,72574
203960,74340
206980,74120
209734,75996
212767,77287
215622,78438
218623,79819
221443,81127
224528,80926
227593,81723
230611,82481
233626,83502
236726,84824
239776,85974
242813,87075
245754,88612
248656,89678
251562,91542
254450,92364
257405,94225
260228,96076
263214,96602
266148,98132
269038,99604
272094,100594
275025,101371
277984,102202
280973,103305
284090,104770
287088,105776
290101,106059
292862,107740
295746,109304
298619,110931
301535,112335
304585,112901
307446,114678
310427,115701
313234,117212
316201,118127
319077,119679
321982,121072
324953,121675
328049,122691
331042,123784
334235,123205
337116,123710
340097,123991
343045,124563
345900,125258
348813,125903
351636,128186
354543,129473
357360,130778
360340,131308
363330,132302
366402,133754
369372,134444
372378,135432
375342,136728
378242,138304
381279,139505
384136,140606
387152,142218
389986,143972
393018,143868
395967,144751
399042,146046
402077,147181
405153,148263
408257,149581
411226,150536
414303,151425
417365,153115
420402,154066
423428,155214
426504,156382
429480,157150
432614,158612
435607,159533
438676,160692
441598,161446
