AbsoluteSum,CumulativeSum
0,0
205,105
395,95
600,200
855,255
1051,351
1265,465
1500,500
1710,710
1909,709
2109,509
2378,550
2577,549
2773,645
3027,899
3236,1108
3441,1213
3687,1259
3901,1373
4091,1363
4302,1574
4546,1618
4751,1723
4968,1826
5208,1766
5419,1977
5618,1976
5868,2126
6073,2231
6263,2221
6483,2441
6718,2386
6923,2491
7128,2596
7374,2642
7591,2745
7794,2848
7984,2838
8245,2999
8444,2998
8640,3094
8910,3264
9100,3254
9311,3465
9555,3509
9760,3614
9965,3719
10155,3709
10428,3868
10627,3867
10823,3963
11086,4226
11286,4426
11491,4531
11726,4566
11946,4786
12149,4889
12339,4879
12590,4830
12785,4725
12980,4620
13251,4777
13456,4882
13646,4872
13866,5092
14106,5032
14317,5243
14516,5242
14766,5392
14980,5506
15170,5496
15416,5542
15612,5638
15826,5752
16016,5742
16278,5890
16483,5995
16673,5985
16947,6259
17137,6249
17342,6354
17601,6513
17791,6503
17992,6504
18188,6600
18447,6759
18643,6855
18861,7073
19120,7142
19310,7132
19500,7122
19696,7218
19967,7375
20157,7365
20362,7470
20617,7525
20813,7621
21027,7735
21262,7770
21482,7990
21672,7980
21877,8085
22132,8140
22328,8236
22555,8463
22795,8403
23015,8623
23214,8622
23449,8657
23650,8658
23862,8756
24075,8869
24317,9011
24513,8815
24724,9026
24969,9271
25183,9385
25373,9375
25584,9586
25828,9630
26029,9731
26243,9845
26478,9880
26700,10102
26903,10205
27143,10145
27348,10250
27544,10346
27743,10345
27993,10495
28207,10609
28397,10599
28659,10747
28864,10852
29054,10842
29328,11116
29518,11106
29723,11211
29928,11316
30174,11362
30388,11476
30578,11466
30843,11731
31034,11922
31251,12025
31469,12243
31709,12183
31899,12173
32089,12163
32333,12207
32542,12416
32732,12406
32993,12567
33192,12566
33388,12662
33602,12776
33837,12811
34054,12914
34259,13019
34505,13065
34723,13283
34913,13273
35174,13434
35373,13433
35569,13529
35786,13632
36030,13676
36235,13781
36440,13886
36686,13932
36904,14150
37094,14140
37295,14141
37530,14176
37747,14279
37952,14384
38198,14430
38416,14648
38606,14638
38856,14388
39065,14597
39273,14601
39487,14715
39722,14750
39942,14970
40132,14960
40400,15128
40614,15242
40804,15232
41069,15497
41259,15487
41464,15592
41680,15694
41924,15738
42129,15843
42334,15948
42578,15992
42783,16097
42988,16202
43238,16352
