Direction,Source Device,Destination Device,Packet Size
receive,osram,coordinator,61
receive,osram,coordinator,69
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
receive,osram,coordinator,50
receive,osram,coordinator,47
send,coordinator,osram,45
receive,osram,coordinator,52
send,coordinator,osram,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,69
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,48
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,50
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,47
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,45
send,coordinator,osram,45
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,61
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,69
receive,osram,coordinator,69
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,57
receive,osram,coordinator,57
receive,osram,coordinator,57
receive,osram,coordinator,57
send,coordinator,osram,50
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,53
send,coordinator,osram,45
send,coordinator,osram,50
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,53
send,coordinator,osram,45
receive,osram,coordinator,57
receive,osram,coordinator,57
receive,osram,coordinator,57
send,coordinator,osram,51
receive,osram,coordinator,47
