Direction,Packet Size
receive,54.13920
receive,55.48834
receive,54.54449
send,51.15424
send,50.95573
receive,45.91038
receive,54.49446
receive,54.48696
receive,54.47027
receive,54.94513
receive,55.37831
receive,50.42575
receive,46.40308
receive,52.02531
receive,52.33188
receive,45.65107
send,45.28201
send,47.80492
send,45.87998
send,50.08930
receive,54.39053
send,52.56832
receive,45.25701
send,49.08046
receive,46.44634
receive,56.54841
send,50.89357
receive,54.13689
receive,46.52609
receive,46.65785
send,52.89446
send,49.15755
receive,45.57980
receive,55.02248
receive,54.84581
receive,45.57166
receive,52.14915
send,45.13020
send,50.29046
receive,54.21953
receive,45.24655
receive,60.33492
receive,54.52420
receive,52.46168
send,46.34763
send,50.43905
receive,54.59665
receive,46.39891
receive,53.93855
receive,55.05125
receive,53.17002
receive,56.33487
receive,52.85668
receive,53.13108
send,49.03255
send,49.07898
send,50.30965
send,47.48159
receive,54.01159
send,46.07194
receive,54.52411
receive,50.16385
receive,46.43783
send,46.47098
receive,68.29284
send,50.44770
send,50.56002
receive,46.52917
receive,54.33675
receive,45.80910
receive,45.51104
receive,54.55737
receive,54.97692
receive,51.23424
receive,50.33860
receive,50.37733
receive,50.59507
send,47.48154
receive,45.93755
receive,46.65643
receive,52.31400
receive,52.69833
receive,50.12633
send,46.93131
receive,46.22484
send,46.21171
receive,52.88055
send,46.93283
send,50.29619
receive,54.27960
receive,46.50868
receive,54.64771
receive,52.97621
send,47.71704
send,49.49343
receive,54.12788
receive,45.81375
receive,54.82460
receive,52.12628
send,47.03446
send,50.00462
receive,54.28315
receive,46.80812
send,50.82772
receive,54.01780
receive,54.90069
send,50.47409
receive,50.99568
receive,46.35182
send,46.24366
receive,46.32239
receive,46.45070
receive,45.06182
receive,50.65944
send,46.15150
receive,68.40643
send,48.93043
send,48.07811
receive,46.49302
receive,54.30856
receive,54.48732
receive,54.59712
receive,45.38946
receive,54.87754
receive,45.51284
receive,51.19345
receive,45.82545
receive,50.10011
receive,52.94207
receive,52.70700
receive,45.49157
receive,52.35836
receive,46.62397
send,46.07977
receive,52.06269
send,47.48015
send,46.13745
send,46.49561
send,49.20446
receive,54.55050
receive,46.52826
send,50.04716
receive,54.02252
receive,45.02067
receive,46.92251
receive,52.94668
receive,54.76317
receive,56.40572
receive,54.35165
send,53.57070
send,50.19361
receive,46.06818
receive,45.37911
receive,56.87306
receive,54.21923
receive,54.09251
send,48.73946
receive,54.64166
receive,46.30954
receive,50.41968
receive,45.22742
receive,45.04304
send,48.03109
send,47.49170
send,53.02977
receive,45.77958
send,50.45642
receive,46.89137
