Direction,PacketSize
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
incoming,54
incoming,54
incoming,50
incoming,50
outgoing,45
outgoing,57
incoming,50
outgoing,54
outgoing,45
outgoing,57
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,57
incoming,50
outgoing,45
outgoing,54
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,54
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,54
outgoing,45
incoming,49
incoming,45
incoming,45
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
outgoing,54
outgoing,57
outgoing,54
outgoing,54
