Direction,PacketSize
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,54
outgoing,54
outgoing,56
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,63
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,54
outgoing,50
outgoing,54
outgoing,56
outgoing,54
outgoing,56
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,54
outgoing,54
outgoing,50
outgoing,56
outgoing,54
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,54
outgoing,56
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
incoming,50
outgoing,45
outgoing,56
incoming,50
outgoing,45
outgoing,54
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,56
outgoing,54
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,56
outgoing,54
outgoing,54
incoming,50
outgoing,54
incoming,50
outgoing,50
incoming,57
outgoing,56
outgoing,54
outgoing,45
incoming,50
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,56
outgoing,54
incoming,50
outgoing,45
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
incoming,50
outgoing,54
incoming,50
outgoing,50
incoming,57
outgoing,54
outgoing,56
outgoing,54
incoming,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,56
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,56
outgoing,54
outgoing,54
outgoing,56
outgoing,54
