Direction,PacketSize
outgoing,47
outgoing,45
outgoing,50
outgoing,47
incoming,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,69
outgoing,69
outgoing,69
outgoing,47
outgoing,52
outgoing,69
incoming,51
outgoing,45
outgoing,47
outgoing,50
outgoing,47
outgoing,52
incoming,48
outgoing,52
outgoing,50
incoming,45
incoming,45
outgoing,47
outgoing,47
incoming,50
outgoing,47
outgoing,45
outgoing,47
outgoing,53
incoming,45
incoming,50
outgoing,47
outgoing,45
outgoing,47
outgoing,53
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,47
outgoing,52
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,61
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,69
outgoing,57
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,47
outgoing,52
outgoing,57
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,69
outgoing,69
outgoing,69
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,69
outgoing,69
outgoing,69
incoming,51
outgoing,47
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
incoming,45
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,47
incoming,45
outgoing,52
incoming,45
incoming,45
incoming,45
outgoing,47
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,52
outgoing,47
incoming,45
outgoing,52
incoming,45
outgoing,69
outgoing,47
outgoing,52
outgoing,69
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
incoming,45
outgoing,52
incoming,48
incoming,45
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,47
outgoing,50
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,47
outgoing,47
outgoing,52
incoming,51
incoming,45
incoming,51
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,47
outgoing,52
incoming,48
outgoing,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,52
incoming,50
outgoing,47
incoming,45
incoming,50
outgoing,47
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,47
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,47
incoming,45
incoming,45
incoming,45
outgoing,52
incoming,45
outgoing,47
outgoing,52
incoming,45
outgoing,47
outgoing,52
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,47
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
outgoing,50
incoming,45
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
outgoing,57
outgoing,57
incoming,50
outgoing,53
incoming,45
incoming,50
outgoing,45
outgoing,47
incoming,45
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
outgoing,47
incoming,45
incoming,45
incoming,45
outgoing,47
outgoing,52
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
outgoing,47
outgoing,52
incoming,51
outgoing,47
outgoing,45
outgoing,47
outgoing,50
incoming,45
incoming,51
outgoing,47
outgoing,47
outgoing,45
outgoing,47
outgoing,52
outgoing,47
outgoing,50
incoming,45
outgoing,47
outgoing,52
outgoing,47
outgoing,52
incoming,48
outgoing,47
outgoing,45
outgoing,52
outgoing,47
outgoing,50
incoming,45
incoming,45
incoming,45
outgoing,47
incoming,45
outgoing,52
outgoing,47
outgoing,52
incoming,51
outgoing,47
