,AbsoluteSum,CumulativeSum
0,0,0
60,2945,705
120,6008,1280
180,8946,1950
241,12046,2524
301,15028,4210
361,18024,5910
422,21096,6348
482,24160,6360
542,27164,7204
603,30222,7074
663,33201,7987
723,36182,8672
784,39262,10132
844,42204,11872
904,45223,13727
965,48337,16241
1025,51385,16447
1085,54293,17407
1146,57349,18637
1206,60468,20200
1266,63568,21852
1327,66703,23395
1387,69751,23635
1447,72660,24492
1508,75756,25400
1568,78819,26369
1628,81921,27019
1689,85203,26575
1749,88487,28311
1809,91728,28326
1869,95004,29922
1930,98603,29729
1990,101679,30495
2050,104739,31281
2111,107876,31834
2171,110918,32868
2231,114102,33644
2292,117214,35144
2352,120361,36187
2412,123401,36951
2473,126519,37671
2533,129590,38384
2593,132674,39064
2654,135825,39515
2714,138884,40198
2774,141958,40788
2835,145030,41484
2895,148027,42645
2955,151087,43437
3016,154185,43591
3076,157471,43937
3136,160524,44588
3197,163487,45665
3257,166576,45818
3317,169592,47062
3378,172659,48939
3438,175671,49725
3498,178627,50767
3559,181742,52002
3619,184624,53120
3679,187612,53780
3739,190738,54824
3800,194007,56427
3860,197139,56619
3920,200201,56405
3981,203162,57676
4041,206166,58830
4101,209061,60077
4162,212120,61352
4222,215035,62431
4282,218040,63788
4343,221043,64739
4403,224024,66180
4463,227016,67120
4524,229932,68482
4584,232958,69644
4644,235880,70838
4705,238855,71691
4765,241910,73142
4825,244944,73756
4886,248070,74966
4946,251107,75803
5006,254204,77120
5067,257292,77824
5127,260344,78596
5187,263421,79909
5248,266572,81152
5308,269603,82183
5368,272711,83419
5428,275735,84155
5489,278867,85587
5549,281911,85647
5609,285105,85103
5670,288155,82053
5730,291155,79053
5790,294478,75730
5851,298106,72102
5911,302006,68202
5971,305534,64674
6032,308829,61379
6092,311919,58289
6152,314919,55289
6213,317979,52229
6273,321019,49189
6333,324073,46135
6394,327142,43066
6454,330349,41689
6514,333450,40070
6575,336927,43547
6635,340296,45680
6695,343700,48246
6756,346866,48394
6816,349909,49273
6876,353030,50476
6937,356073,51347
6997,359219,51361
7057,362435,52269
7118,365553,52365
7178,368683,53161
7238,371759,53811
7298,374777,54751
7359,377813,56031
7419,380774,57048
7479,383766,58508
7540,386862,59962
7600,390649,62513
7660,393717,63125
7721,396719,63705
7781,399716,64042
7841,402729,64935
7902,405768,65804
7962,408820,66804
8022,411878,67702
8083,415183,68131
8143,418168,69460
8203,421093,70477
8264,424153,71137
8324,427286,71214
8384,430263,72399
8445,433451,71779
8505,436503,72419
8565,439586,73098
8626,442765,73303
8686,445937,73635
8746,448921,74289
8807,452059,74817
8867,455059,75033
8927,458025,75871
8988,461018,76636
