AbsoluteSum,CumulativeSum
0,0
1191,567
2395,771
3627,1191
4838,1698
6067,2115
7287,2523
8536,2844
9736,3240
10902,3702
12120,3908
13345,4005
14536,4572
15765,4881
17013,4877
18242,5186
19458,5598
20633,5961
21834,6676
23059,6989
24300,7400
25512,7898
26725,8615
27963,8843
29186,9252
30348,9718
31534,10100
32775,10529
34000,10942
35226,10960
36445,11247
37655,11845
38856,12134
40031,12497
41247,12693
42476,13110
43708,13530
44934,13620
46181,13821
47399,14325
48613,14707
49782,14848
51014,15268
52253,15255
53491,15573
54700,15662
55900,16238
57103,16729
58335,17149
59513,17615
60741,18031
61953,18431
63181,18847
64405,19161
65646,19040
66878,19460
68106,19876
69281,20239
70505,20553
71725,20871
72962,21394
74182,21802
75411,22219
76637,22201
77877,22501
79052,22864
80272,23272
81487,23587
82719,24007
83947,24423
85158,24822
86396,25140
87608,25630
88799,25569
90019,25977
91227,26373
92459,26793
93679,27201
94898,27814
96110,28320
97322,28628
98488,28982
99708,29390
100932,29902
102173,30331
103393,30739
104622,31048
105847,31361
107067,31769
108297,31747
