AbsoluteSum,CumulativeSum
0,0
384,384
825,825
1266,1266
1704,1704
2145,2145
2586,2586
3024,3024
3442,3026
3857,3241
4255,3539
4657,3941
5072,4078
5510,4516
5951,4957
6392,5398
6830,5836
7271,6277
7712,6718
8150,7156
8591,7597
9029,8035
9470,8476
9908,8914
10346,9352
10787,9793
11228,10234
11666,10672
12101,11107
12536,11542
12968,11542
13364,11638
13774,11852
14203,12191
14641,12629
15079,13067
15514,13502
15955,13943
16390,14378
16831,14819
17269,15257
17707,15695
18145,16133
18580,16352
18992,16666
19430,17104
19865,17539
20306,17980
20744,18418
21185,18859
21623,19297
22064,19738
22502,20176
22943,20617
23381,21055
23822,21496
24263,21937
24701,22375
25132,22166
25547,22381
25957,22691
26343,22791
26769,23127
27204,23562
27636,23994
28074,24432
28515,24873
28956,25314
29394,25752
29812,25646
30234,25968
30628,26174
31069,26615
31507,27053
31948,27494
32332,27878
32773,28319
33214,28760
33652,29198
34093,29639
34534,30080
34972,30518
35413,30959
35851,31397
36292,31838
36727,32273
37159,32705
37600,33146
38038,33584
38479,34025
38917,34463
39358,34904
39783,35121
40213,35453
40654,35894
41092,36332
41533,36773
41974,37214
42415,37655
42853,38093
43294,38534
43735,38975
44173,39413
44614,39854
45052,40292
45493,40733
45934,41174
46372,41612
46816,42056
47254,42494
47695,42935
48136,43376
48577,43817
49018,44258
49456,44696
49897,45137
50338,45578
50776,46016
51217,46457
51655,46895
52090,46682
52495,46787
52917,47109
53311,47405
53726,47542
54164,47980
54605,48421
55046,48862
55487,49303
55925,49741
56366,50182
56807,50623
57245,51061
57686,51502
58127,51943
58565,52381
59006,52822
59447,53263
59885,53701
60329,54145
60767,54583
61208,55024
61649,55465
62087,55903
62525,56017
62921,56113
63323,56317
63729,56535
64158,56874
64599,57315
