AbsoluteSum,CumulativeSum
0,0
3547,-31
7149,519
10628,1106
14116,2034
17723,3233
21320,4442
25024,4602
28609,3327
32175,3539
35718,4726
39276,5440
42785,5709
46308,6612
49800,7484
53368,7380
56963,6547
60433,6993
63897,7311
67405,8105
70989,8609
74540,9094
78068,9382
81589,9659
85107,10585
88660,11354
92286,11712
95818,11920
99341,12527
102768,13254
106280,13742
109782,14624
113373,15051
116942,15216
120501,15127
124077,14599
127556,15496
131061,16841
134553,17309
138085,17681
141515,19059
145062,19188
148572,19862
152093,20035
155621,20539
159182,21480
162728,21758
166287,22617
169713,23855
173241,23871
176708,24962
180236,25142
183712,26214
187221,26723
190723,28497
194249,30187
197766,30342
201349,30131
204920,31126
208451,31861
212088,33834
215687,34621
219268,35760
222824,36072
226497,35609
230009,37609
233429,38437
236998,39114
240544,39852
243975,41095
247513,41501
251134,44080
254885,46657
258635,49299
262277,50957
266259,53137
269933,53181
273599,54095
277233,55097
280873,56861
284425,58105
288075,59627
291679,61171
295300,62150
298827,62561
302253,63273
305770,63884
309297,64251
312866,64528
316422,65396
