AbsoluteSum,CumulativeSum
0,0
2159,531
4380,1138
6607,1619
8896,2656
11081,3959
13309,4175
15615,4665
17713,5899
19938,5964
22056,6570
24228,7122
26302,8548
28513,10543
30805,10999
33013,11263
35257,12319
37374,13032
39588,13542
41826,14700
44120,15050
46305,16099
48479,16837
50800,17430
53019,18461
55183,19437
57471,20209
59732,20774
62064,21750
64303,22511
66590,23220
68887,24061
71154,24980
73423,25665
75706,26492
77990,27420
80256,28080
82561,28613
84854,29214
87134,30454
89412,31160
91692,31928
93980,32660
96269,33257
98594,33114
101010,31750
103340,30408
105497,31917
107573,33129
109812,32992
111938,34146
114023,35475
116358,36082
118411,37595
120589,39017
122921,38631
125060,39770
127363,40781
129505,41411
131700,42310
133818,43780
136102,44266
138331,45091
140473,45721
142646,46598
144780,47314
147002,48550
149191,49443
151330,50366
153692,49812
155805,50845
157976,51936
160152,52384
162382,52966
164647,54151
166803,54903
169041,55315
171227,56609
173391,57801
175569,58575
177743,59937
179923,61469
182078,62220
184224,63150
186440,64286
188518,66134
190707,67675
192877,68873
195097,69473
197180,71016
199316,71964
201575,72603
203641,74021
205882,74102
207974,75114
210132,76056
212371,77323
214478,78674
216695,79295
218938,80134
221090,81098
223265,81625
225663,81291
227986,81916
230193,82459
232519,83457
234758,84104
237077,85175
239333,85739
241663,86465
243879,87277
246069,88819
248251,89813
250390,90586
252659,91235
254790,92474
256944,93764
259185,95033
261281,96049
263524,96912
265743,97727
267880,99216
270074,99762
272363,100637
274578,101338
276745,101877
278972,102476
281287,103431
283561,104457
285850,104954
288119,105757
290362,105888
292381,107583
294561,108119
296678,110040
298864,111068
301077,111877
303260,113520
305489,113805
307700,114702
309928,115202
312056,116574
314222,117660
316381,118307
318497,119531
320764,120286
322915,121357
325155,121669
327485,122635
329729,123423
332040,124250
334451,122989
336595,123405
338788,124302
340969,124431
343207,124401
345320,125110
347464,126066
349627,126717
351789,128123
353918,129388
356075,130141
358219,131097
360490,131158
362701,132001
365053,133013
367264,134308
369520,134492
371725,135235
373946,136412
376170,136988
378349,138303
380618,139492
382760,140338
384972,141334
387260,142110
389339,143433
391591,143741
393788,144300
396061,144845
398321,145633
400645,146609
402971,147759
405210,148320
407528,149584
409759,150259
412055,151049
414348,151470
416630,152920
418920,153438
421158,154192
423473,155259
425711,156013
428040,156670
430306,157352
432614,158612
434899,159449
437132,160406
439423,160923
441598,161446
