AbsoluteSum,CumulativeSum
0,0
445,45
950,250
1405,505
1909,709
2432,604
2883,755
3396,1168
3851,1423
4356,1628
4858,1716
5309,1867
5814,2072
6263,2221
6768,2336
7273,2541
7740,2794
8245,2999
8696,3150
9201,3355
9706,3560
10155,3709
10672,3912
11131,4271
11631,4571
12149,4889
12590,4830
13090,4730
13551,4877
14056,5082
14561,5287
15025,5551
15511,5537
16016,5742
16483,5995
16997,6209
17452,6464
17942,6554
18447,6759
18915,7127
19405,7127
19857,7265
20362,7470
20867,7675
21318,7826
21823,8031
22272,8180
22795,8403
23309,8617
23751,8759
24260,8954
24724,9026
25228,9430
25733,9635
26193,9895
26700,10102
27143,10145
27648,10350
28157,10659
28602,10804
29110,10898
29613,11101
30073,11261
30578,11466
31034,11922
31564,12238
32039,12213
32488,12362
32993,12567
33442,12716
33947,12921
34449,13009
34913,13273
35418,13478
35890,13636
36395,13841
36904,14150
37340,14186
37857,14389
38306,14538
38806,14438
39327,14655
39778,14806
40283,15011
40754,15282
41259,15487
41784,15698
42239,15953
42729,16043
43238,16352
