AbsoluteSum,CumulativeSum
0,0
1717,779
3383,1041
5060,1208
6768,1678
8461,2343
10159,2919
11859,3673
13627,4503
15363,5583
17104,7042
18806,7800
20494,8252
22187,9007
23890,9766
25642,10396
27345,11061
29028,11716
30714,12278
32502,13128
34188,13690
35896,14280
37604,14952
39337,15367
41031,15931
42739,16611
44435,17183
46138,17858
47856,18542
49511,18699
51257,19411
52960,19978
54666,20550
56357,21217
58035,21867
59750,23120
61516,24790
63201,25261
64908,25084
66583,25063
68291,25743
69978,26122
71693,26899
73517,28059
75205,28629
77069,29561
78770,29958
80627,30883
82489,32069
84177,32633
85967,33481
87676,34078
89419,34797
91689,36601
93481,37549
95424,38650
97458,40032
99381,41203
101152,42036
102899,43031
104661,43765
106385,44745
108130,45648
109815,46215
111512,46770
113310,47620
115007,48283
116830,49548
118649,50339
120383,51225
122093,52087
123835,52891
125545,53663
127238,54418
128939,55181
130730,56040
132432,56714
134151,57495
135848,57956
137566,59026
139259,59501
140952,60156
142703,60783
144403,61461
146116,62326
147809,62873
149511,63433
151206,64190
153027,64989
154723,65661
156483,66481
158177,67043
159885,67715
161582,68572
163272,69034
164994,69804
166720,70688
168551,71681
170321,72709
172029,73479
173724,74526
175451,75695
177245,76641
178946,77306
180673,78109
182644,79428
184433,80179
186642,82016
188410,82936
190113,83701
191784,84350
193486,85000
195219,85525
196914,86012
198615,86679
200309,87251
202141,88521
203832,88998
205727,90225
207422,90892
209250,91578
210958,92338
212636,92898
214526,94126
216217,94603
218174,95818
219892,96506
221630,97212
223328,97678
225033,98541
226921,99775
228640,100652
230809,102255
232815,103495
234667,104595
236413,105217
238098,105790
239803,106487
241705,107631
243462,108354
245145,108909
247019,109935
248753,110539
250546,111480
252244,112150
253918,112712
255643,113589
257334,114156
259037,115021
260775,115531
