AbsoluteSum,CumulativeSum
0,0
294,-6
636,46
969,89
1303,223
1645,275
1987,327
2275,415
2609,459
2951,511
3299,559
3637,597
3988,568
4312,892
4601,981
4943,1033
5276,1076
5625,925
5960,860
6307,817
6649,869
6939,759
7281,811
7623,863
7953,893
8290,1040
8623,1173
8962,1122
9245,1035
9569,819
9909,659
10246,806
10579,759
10894,444
11226,326
11511,221
11844,264
12183,303
12525,355
12850,480
13192,532
13534,584
13831,591
14156,716
14498,768
14831,811
15170,850
15509,889
15856,936
16126,936
16471,681
16810,720
17153,573
17497,617
17839,669
18127,757
18461,801
18803,853
19131,991
19472,1332
19818,1578
20150,1910
20442,2102
20784,2154
21114,2184
21456,2236
21784,2194
22118,2148
22460,2200
22757,2297
23087,2237
23442,2402
23775,2445
24109,2579
24451,2631
24784,2764
25063,2593
25398,2528
25740,2580
26082,2632
26417,2567
26759,2619
27087,2667
27376,2756
27718,2808
28060,2860
28390,2890
28740,2950
29074,2904
29412,2942
29701,2941
30043,2993
30381,3031
30720,2980
31062,3032
31404,3084
31739,3019
32036,3026
32371,2961
32713,3013
33055,3065
33388,3108
33726,3076
34014,3164
34348,3208
34690,3260
35023,3393
35357,3437
35704,3484
36042,3522
36334,3534
36673,3573
37020,3620
37362,3672
37696,3716
38038,3768
38376,3806
38670,3710
39012,3762
39349,3909
39687,3947
40031,3801
40369,3749
40708,3788
41005,3795
41342,3942
41680,3980
42019,3929
42353,4063
42692,4102
43034,4154
43322,4242
43656,4286
43998,4338
44340,4390
44679,4429
45019,4269
45358,4308
45652,4302
45986,4436
46324,4474
46658,4518
47000,4570
47342,4622
47684,4674
47973,4763
48303,4793
48645,4935
48974,4714
49311,4861
49641,4891
49940,4790
50263,4663
50602,4702
50944,4754
51286,4806
51628,4858
51966,4806
52263,4813
52602,4852
52944,4814
53286,4866
53625,4905
53959,5039
54297,5077
54586,5076
54923,5223
55256,5266
55595,5305
55927,5187
56265,5225
56604,5174
56896,5276
57229,5319
57576,5366
57910,5410
58252,5462
58594,5514
58932,5552
59233,5573
59572,5612
59913,5663
60262,5812
60586,5776
60928,5828
61266,5866
61555,5865
61902,5912
62244,5964
62577,6007
62924,6054
63263,6003
63605,6055
63902,6062
64244,6114
64582,6152
64921,6101
65268,6058
65601,6101
65938,6068
