AbsoluteSum,CumulativeSum
0,0
2300,1106
4737,2985
7079,4499
9413,6005
11916,8130
14123,8789
16743,11319
19259,13463
21632,14822
23870,15936
26065,17387
28253,18381
30432,19270
32618,19876
34809,21041
36990,22016
39178,23274
41347,23877
43526,24664
45762,25616
47935,26403
50117,27287
52290,27900
54479,28973
56666,29960
58859,31229
61047,32491
63252,34600
65450,35148
67820,36228
69998,36384
72189,36233
74354,36382
76531,37269
78751,38385
80996,39700
83214,40436
85387,40651
87553,41425
89852,42530
92054,43436
94221,44043
96387,44925
98577,45999
100908,47502
103085,48299
105270,48826
107547,49999
109757,50613
112130,51882
114386,53208
116733,54541
118906,55130
121094,56484
123267,57267
125469,58637
127642,59160
129826,59964
132007,60669
134230,61686
136423,62491
138604,63196
140836,64208
143013,64819
145208,65616
147442,66816
149704,67788
151882,68490
154055,69097
156286,70038
158468,70736
160776,72030
162946,72640
165124,73522
167294,74138
169475,74925
171675,75277
173986,76568
176224,77766
178460,78718
180638,79420
182811,80207
184997,80999
187183,82159
189375,83235
191557,83839
193737,84903
195907,85519
198146,86550
