Packet Size,Direction
51,B to A
55,A to B
55,A to B
55,A to B
50,A to B
45,A to B
52,A to B
45,B to A
45,B to A
55,A to B
45,A to B
50,B to A
55,A to B
55,A to B
55,A to B
53,A to B
45,A to B
52,A to B
45,B to A
55,A to B
55,A to B
55,A to B
45,A to B
53,A to B
45,A to B
55,A to B
45,A to B
55,A to B
45,A to B
48,B to A
55,A to B
55,A to B
55,A to B
50,A to B
45,A to B
52,A to B
45,B to A
45,B to A
50,B to A
55,A to B
45,A to B
55,A to B
52,A to B
45,B to A
50,B to A
55,A to B
45,A to B
48,B to A
55,A to B
55,A to B
55,A to B
50,A to B
45,A to B
45,A to B
45,B to A
55,A to B
55,A to B
50,A to B
45,A to B
45,B to A
48,B to A
55,A to B
55,A to B
50,A to B
45,A to B
45,B to A
77,A to B
77,A to B
77,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
