Packet Size,Direction
51,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
47,A to B
45,B to A
52,A to B
51,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
45,A to B
47,A to B
50,A to B
47,A to B
45,B to A
45,B to A
45,B to A
52,A to B
52,A to B
47,A to B
52,A to B
45,B to A
47,A to B
52,A to B
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
48,B to A
47,A to B
45,A to B
47,A to B
50,A to B
45,B to A
